Crime Head,Category,January 2026,December 2025,January 2025
Murder,Murder for gain,5,2,4
Murder,Other Murders,93,80,95
Murder,Total Murder,98,82,99
Dacoity,Dacoity Cases,6,14,19
Robbery,Chain Snatching,29,42,44
Robbery,Robbery (Except Chain Snatching),63,61,45
Robbery,Total Robbery,92,103,89
Burglary,Burglary Night,356,347,316
Burglary,Burglary Day,85,105,95
Burglary,Total Burglary,441,452,411
Theft,Reported,1742,1771,1835
Riots,Riots,319,292,254
Hurt,Cases of Hurt,1437,1464,1327
Special & Local Laws,SLL Cases,5857,5711,4629
Crime against Women,Rape,45,41,57
Crime against Women,Dowry Death,11,7,12
POCSO,POCSO,316,440,374
SC/ST POA Act,SC/ST POA Act,223,249,173
Preventive Action,107 Cr.PC/126 BNSS,1361,1121,1430
Preventive Action,109 Cr.PC/128 BNSS,257,178,163
Preventive Action,110 Cr.PC/129 BNSS,712,734,685
Preventive Action,Total Security Cases,2330,2033,2278
Cyber Crimes,Cyber Crimes,1259,1286,1407
Economic Offences,Economic Offences,470,710,572
MMDR,MMDR Act,11,4,3
MMDR,KMMC Rules,2,3,1
Motor Vehicles Theft,MV Theft Cases,767,795,900
NDPS,NDPS Cases,1397,909,428
