District,MURDER,DACOITY,ROBBERY,CHAIN SNATCHING,BURGLARY DAY,BURGLARY NIGHT,THEFT,SNATCHING,RIOTS,CASES OF HURT,Spl & Local laws,RAPE,DOWRY DEATHS,POCSO,SC ST POA Act,107 CrPC/126 BNSS,109 CrPC/128 BNSS,110 CrPC/129 BNSS,CYBER CRIME,Cr Br of Trust,CHEATING,COUNTERFEITING,KMMC,MMDR,Motor vehicles Theft,NDPS
Bagalkot,3,1,1,0,6,13,20,0,4,12,82,1,0,8,4,42,7,0,2,1,4,0,0,0,7,3
Ballari,1,0,1,0,3,4,37,0,8,13,124,0,0,5,6,20,3,0,13,0,5,0,0,0,9,1
Belagavi City,0,0,0,0,0,14,20,1,4,11,73,0,0,3,0,77,7,10,12,1,6,0,0,0,13,23
Belagavi Dist,6,0,2,2,3,19,78,0,45,96,187,4,0,21,14,172,10,16,14,1,22,0,0,0,41,22
Bengaluru city,13,1,30,2,15,50,649,33,6,304,2138,8,4,45,20,32,25,170,861,31,165,0,0,0,359,841
Bengaluru District,8,0,7,1,7,29,76,2,7,46,98,2,2,9,11,6,3,1,31,2,23,1,0,0,48,11
Bengaluru South,2,0,1,1,1,9,32,0,6,32,63,1,0,8,4,14,5,49,18,2,5,0,0,0,16,4
Bidar,1,0,0,0,1,5,21,0,10,38,53,0,0,1,3,28,19,5,2,1,3,0,0,0,13,1
Chamarajanagar,1,1,0,1,2,3,13,0,2,26,51,1,0,2,5,16,6,9,1,0,3,0,0,0,6,11
Chickballapura,2,0,0,3,3,10,17,0,13,32,147,0,0,20,6,17,1,3,23,0,5,0,0,0,7,3
Chikkamagaluru,4,0,1,0,3,5,18,0,4,54,72,2,0,11,4,71,4,1,8,1,4,0,0,0,4,9
Chitradurga,5,0,1,3,1,4,35,0,30,52,103,2,0,12,5,40,3,1,9,0,8,0,0,1,9,2
Dakshina kannada,2,0,0,1,1,4,15,0,6,19,39,0,0,4,4,15,2,1,7,0,2,0,2,0,1,10
Davanagere,2,0,1,1,0,10,38,0,24,28,185,2,1,5,8,45,51,18,6,0,8,1,0,0,16,37
Dharwad,2,0,0,0,2,2,8,0,2,8,36,1,0,2,5,65,3,3,5,1,0,0,0,0,4,5
Gadag,0,0,0,0,2,2,7,0,12,7,107,1,0,6,3,46,6,12,9,1,7,0,0,0,3,6
Hassan,5,0,0,0,6,15,30,0,1,65,166,2,2,14,6,48,5,108,8,1,17,0,0,0,13,12
Haveri,2,1,0,1,0,7,45,0,19,13,54,1,1,9,4,14,4,2,11,0,9,0,0,0,16,1
Hubballi Dharwad City,3,0,1,0,1,7,17,3,0,14,57,1,0,6,3,18,3,1,16,1,1,0,0,0,8,1
K.G.F,0,1,0,0,2,3,10,0,1,17,26,0,0,2,0,7,0,14,5,0,2,0,0,0,6,1
Kalaburagi,2,0,1,0,4,15,31,0,13,38,62,1,0,8,6,23,6,6,1,0,4,0,0,0,4,0
Kalaburagi City,1,1,1,1,1,12,13,0,1,14,98,0,0,1,1,18,2,5,8,0,3,0,0,0,9,22
Karnataka Railways,0,0,0,0,0,0,22,0,0,0,16,0,0,1,1,0,8,5,0,0,1,0,0,0,2,14
Kodagu,2,0,1,0,1,1,10,0,0,29,124,0,0,5,3,12,0,0,16,0,2,0,0,0,0,63
Kolar,4,0,2,3,1,6,16,0,13,23,33,1,0,3,2,10,2,3,7,1,1,0,0,0,9,4
Koppal,0,0,0,0,2,7,15,0,1,10,94,2,0,5,6,57,23,9,3,1,3,0,0,0,6,4
Mandya,3,0,0,1,3,17,27,0,4,58,129,3,0,9,10,21,3,0,10,0,6,0,0,0,17,4
Mangalooru City,0,0,0,0,0,5,19,0,0,17,82,1,0,4,1,47,0,38,7,1,13,0,0,0,7,55
Mysuru City,1,0,2,2,0,4,28,0,0,22,137,0,0,1,1,11,0,27,21,3,4,0,0,0,20,93
Mysuru District,5,0,4,2,3,20,31,0,6,74,81,1,0,12,5,22,6,0,7,0,14,0,0,0,13,2
Raichur,4,0,0,0,1,6,107,0,12,9,209,1,0,7,15,22,3,7,4,2,4,0,0,0,12,17
Shivamogga,2,0,2,3,1,7,50,0,18,90,175,2,0,22,20,23,2,0,19,1,9,0,0,0,25,41
Tumakuru,3,0,0,1,0,13,44,0,5,60,164,1,1,9,14,30,18,52,24,2,17,0,0,0,17,24
Udupi,0,0,0,0,0,5,16,0,1,9,48,2,0,7,4,21,2,76,18,0,7,0,0,3,0,2
Uttara kannada,3,0,1,0,3,8,22,0,6,40,177,0,0,6,4,87,1,6,10,0,2,0,0,7,6,31
Vijayanagara,1,0,1,0,1,6,13,0,10,12,150,0,0,11,4,73,3,3,8,0,5,0,0,0,1,5
Vijayapur,5,0,2,0,4,6,28,0,13,32,144,1,0,6,7,57,11,49,33,2,13,0,0,0,13,7
Yadgir,0,0,0,0,1,7,25,0,12,13,73,0,0,6,4,34,0,2,1,0,4,0,0,0,7,5
Total,98,6,63,29,85,356,1703,39,319,1437,5857,45,11,316,223,1361,257,712,1258,57,411,2,2,11,767,1397
