Range,Sl No,Unit/District,Section 4,Section 5,Section 6A,Section 6B,Section 7,Total Fine Amount
Commissionerate,1,Bengaluru City,3611,0,33,18,43,583050
Commissionerate,2,Mysuru City,1426,0,0,0,0,233450
Commissionerate,3,Hubli-Dharwad City,3,0,0,0,0,600
Commissionerate,4,Mangaluru City,134,0,0,0,0,5770
Commissionerate,5,Belagavi City,86,0,0,0,0,4600
Commissionerate,6,Kalburgi City,102,0,0,0,0,18500
Central Range,1,Bengaluru Dist.,92,0,0,0,0,8900
Central Range,2,K.G.F.,102,0,0,0,0,5200
Central Range,3,Kolar,309,0,0,0,0,28450
Central Range,4,Tumakuru,1379,0,0,0,0,181300
Central Range,5,Chickballapura,153,0,0,0,0,15250
Central Range,6,Ramanagara,251,0,0,0,0,25100
Eastern Range,1,Chitradurga,1109,0,0,0,0,81760
Eastern Range,2,Davanagere,1580,0,0,0,0,165980
Eastern Range,3,Shivamogga,1017,0,0,0,0,58150
Eastern Range,4,Haveri,140,0,0,0,0,12500
Western Range,1,Chickmagalur,112,0,0,0,0,18300
Western Range,2,D.K.,307,0,0,0,0,17915
Western Range,3,Udupi,452,0,0,0,0,48150
Western Range,4,U.K.,543,0,0,0,0,63250
Northern Range,1,Bagalakote,11,0,0,0,26,910
Northern Range,2,Belagavi dist.,50,0,0,0,0,10000
Northern Range,3,Vijayapura,16,0,0,0,0,1600
Northern Range,4,Dharwad,61,0,0,36,0,10300
Northern Range,5,Gadag,973,0,0,0,0,88750
North Eastern Range,1,Bidar,55,0,0,0,0,6300
North Eastern Range,2,Kaburgi,5,0,0,0,0,1000
North Eastern Range,3,Yadgiri,65,0,0,0,0,6500
Southern Range,1,Chamarajanagar,1359,0,0,0,0,82150
Southern Range,2,Hassan,566,0,0,0,0,34450
Southern Range,3,Kodagu,117,0,0,0,0,14550
Southern Range,4,Mandya,328,0,0,0,0,29100
Southern Range,5,Mysuru Dist.,58,0,0,0,0,5800
Ballari Range,1,Ballari,196,0,0,0,0,19600
Ballari Range,2,Vijayanagara,801,0,0,0,0,78450
Ballari Range,3,Koppal,18,0,0,0,0,1800
Ballari Range,4,Raichur,512,0,0,0,0,51200
Railways,IX,Karnataka Railways,1,0,0,0,0,200
Total,,Total,18100,0,33,54,69,2018835
