Sl No,Heads of Crime,Current Year To Date,Corresponding Month Prev Year,Previous Month,Current Month (Jan 2026)
1,Infanticide/Foeticide Sec.315 & 316,0,1,0,0
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment Sec.317,3,5,5,3
4,Kidnapping & Abduction of Children,429,285,330,429
4.1,For Ransom - of Children,1,3,1,1
4.2,Of Children - for begging,0,0,0,0
4.3,Of Girls - Immoral Purpose,0,0,0,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,0,0,0,0
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,0,1,0,0
,Sub Total (Kidnapping),430,289,331,430
5,Selling of girls for Prostitution Sec.372,0,0,0,0
6,Prohibition of Child Marriage Act 2006,8,9,16,8
7,POCSO Act,316,374,440,316
8,Death of Children due to miscarriage,0,0,0,0
9,Juvenile Justice Act,11,11,19,11
10,Child Labour (Pro.& Reg.) Act,9,10,1,9
11,Probation of Offenders Act,0,0,0,0
,Total (Item 1 to 11),777,699,812,777
