SL No,Service Name,Received,Disposed,Pending
1,Job / Service Verification,38306,28424,9882
2,PVC for Central/State Govt employees (direct/by Dept),654,480,174
3,Police Clearance Certificate for going abroad / Foreign Nationals,247,186,61
4,PVC for Coolies/Loader/Class IV Security/Supervisor at Airport,10479,7398,3081
5,PVC for domestic servants/house keeping,0,0,0
6,PVC for Institutions/Companies,93,61,32
7,PVC for Marriage Alliances,37,27,10
8,PVC for Training Apprenticeship at Public Undertakings,7106,4731,2375
9,Amplified Sound System,843,565,278
10,Missing Report of documents/Mobile phone etc,238,36,202
11,Disposal of petitions,27,2,25
12,Locked Home Details,0,0,0
13,Senior Citizen Registration,251,0,251
14,Complaint Registration,54,2,52
15,License for Amusement,0,0,0
16,No obligation to return to India (NORI) Certificate,0,0,0
17,NOC for petrol pump/gas agency/hotel/bar etc,1,0,1
18,Permission for Peaceful Assembly and procession,1,0,1
19,Application for Temporary License for Sale of Crackers,0,0,0
20,NOC for setting up of Petroleum/Diesel/Naphtha sale and transport,0,0,0
,Total,58337,41912,16425
