transaction_id,from_account,to_account,amount,date,method,fir_number,pattern,is_synthetic
TXN00001,VAC0001,AC0030,49421.21,2025-12-13,UPI,FIR-2025-SHI-0002,structuring,True
TXN00002,VAC0001,AC0030,48997.3,2025-12-15,UPI,FIR-2025-SHI-0002,structuring,True
TXN00003,VAC0001,AC0030,42369.21,2025-12-16,IMPS,FIR-2025-SHI-0002,structuring,True
TXN00004,VAC0001,AC0030,40620.77,2025-12-16,UPI,FIR-2025-SHI-0002,structuring,True
TXN00005,VAC0002,AC0030,181408.5,2025-12-13,IMPS,FIR-2025-SHI-0002,deposit,True
TXN00006,AC0030,AC0049,284653.8,2025-12-15,RTGS,FIR-2025-SHI-0002,layering,True
TXN00007,VAC0003,AC0055,14315.0,2024-08-22,UPI,FIR-2024-MAN-0004,deposit,True
TXN00008,VAC0004,AC0055,14315.0,2024-08-22,UPI,FIR-2024-MAN-0004,deposit,True
TXN00009,VAC0004,AC0055,14315.0,2024-08-25,IMPS,FIR-2024-MAN-0004,deposit,True
TXN00010,AC0055,AC0043,49448.75,2024-08-24,UPI,FIR-2024-MAN-0004,layering,True
TXN00011,AC0043,AC0008,39724.94,2024-08-24,UPI,FIR-2024-MAN-0004,layering,True
TXN00012,AC0008,COA005,35082.8,2024-08-25,UPI,FIR-2024-MAN-0004,cashout,True
TXN00013,VAC0005,AC0022,194098.5,2024-03-26,IMPS,FIR-2024-VIJ-0005,deposit,True
TXN00014,VAC0005,AC0022,194098.5,2024-03-29,NEFT,FIR-2024-VIJ-0005,deposit,True
TXN00015,AC0022,AC0008,305046.54,2024-03-29,RTGS,FIR-2024-VIJ-0005,layering,True
TXN00016,AC0008,AC0045,293853.41,2024-03-31,RTGS,FIR-2024-VIJ-0005,layering,True
TXN00017,AC0045,AC0047,255536.34,2024-04-01,NEFT,FIR-2024-VIJ-0005,layering,True
TXN00018,AC0047,COA001,218702.92,2024-04-01,NEFT,FIR-2024-VIJ-0005,cashout,True
TXN00019,VAC0006,AC0044,70572.0,2025-05-30,NEFT,FIR-2025-BAL-0008,deposit,True
TXN00020,AC0044,AC0057,58975.82,2025-06-01,NEFT,FIR-2025-BAL-0008,layering,True
TXN00021,AC0057,AC0045,53448.37,2025-06-01,NEFT,FIR-2025-BAL-0008,layering,True
TXN00022,AC0045,COA019,48726.11,2025-06-01,IMPS,FIR-2025-BAL-0008,cashout,True
TXN00023,VAC0007,AC0051,35012.0,2025-12-22,UPI,FIR-2025-BAG-0009,deposit,True
TXN00024,VAC0008,AC0051,70024.0,2025-12-22,NEFT,FIR-2025-BAG-0009,deposit,True
TXN00025,VAC0008,AC0051,70024.0,2025-12-23,NEFT,FIR-2025-BAG-0009,deposit,True
TXN00026,VAC0009,AC0056,97629.25,2025-11-09,IMPS,FIR-2025-KAL-0011,deposit,True
TXN00027,VAC0009,AC0056,97629.25,2025-11-08,NEFT,FIR-2025-KAL-0011,deposit,True
TXN00028,VAC0010,AC0056,195258.5,2025-11-11,NEFT,FIR-2025-KAL-0011,deposit,True
TXN00029,VAC0010,AC0056,97629.25,2025-11-10,NEFT,FIR-2025-KAL-0011,deposit,True
TXN00030,AC0056,AC0047,313660.17,2025-11-10,NEFT,FIR-2025-KAL-0011,layering,True
TXN00031,AC0047,AC0056,275397.05,2025-11-12,RTGS,FIR-2025-KAL-0011,layering,True
TXN00032,AC0056,AC0044,233546.0,2025-11-13,NEFT,FIR-2025-KAL-0011,layering,True
TXN00033,AC0044,COA020,191819.57,2025-11-15,IMPS,FIR-2025-KAL-0011,cashout,True
TXN00034,VAC0011,AC0014,234595.5,2025-03-18,NEFT,FIR-2025-BEL-0016,deposit,True
TXN00035,AC0014,AC0053,369861.39,2025-03-17,RTGS,FIR-2025-BEL-0016,layering,True
TXN00036,AC0053,AC0037,333084.11,2025-03-18,RTGS,FIR-2025-BEL-0016,layering,True
TXN00037,VAC0012,AC0006,430373.0,2024-01-19,RTGS,FIR-2024-BAG-0018,deposit,True
TXN00038,VAC0012,AC0006,430373.0,2024-01-19,NEFT,FIR-2024-BAG-0018,deposit,True
TXN00039,VAC0013,AC0006,430373.0,2024-01-19,RTGS,FIR-2024-BAG-0018,deposit,True
TXN00040,VAC0013,AC0006,430373.0,2024-01-17,RTGS,FIR-2024-BAG-0018,deposit,True
